Filename;Testnumber;Testbox;cage;animal_ID;group;Sex;Genotype;Age;Time_of_OFT;Comments;Session;Feces;PRE;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6
TFS1OFT1_1DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;1;1;470412;2003;TFS;M;wt;12;12:45;super loud drilling;OFT1;4;11,94666667;28,46;23,34;21,87;26,88333333;24,06666667;18
TFS1OFT1_2DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;2;2;470413;2008;Control;M;wt;12;12:45;super loud drilling;OFT1;1;16,19;27,35;19,93;19,34;21,25333333;22,37333333;19,91333333
TFS1OFT1_3DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;3;3;470414;2013;Control;M;wt;12;12:45;super loud drilling;OFT1;2;15,22333333;21,38;21,45;19,45;23,34333333;22,51;21,52
TFS1OFT1_4DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;4;4;470415;2018;TFS;M;wt;12;12:45;super loud drilling;OFT1;0;7,856666667;47,46;39,41;45,75;51,38666667;37,33333333;32,34333333
TFS1OFT1_5DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;5;1;470413;2009;Control;M;wt;12;13:00;;OFT1;0;16,79;20,64;18,72;28,35;16,45;33,72666667;18,91
TFS1OFT1_6DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;6;2;470416;2023;TFS;M;wt;12;13:00;;OFT1;6;13,90666667;60,75;70,76;56,55;43,47;66,92666667;32,02666667
TFS1OFT1_7DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;7;3;470417;2028;TFS;M;wt;12;13:00;super anxious;OFT1;3;11,84333333;45,66;30,90;35,69;25,58;28,15;18,18333333
TFS1OFT1_8DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;8;4;470414;2014;Control;M;wt;12;13:00;;OFT1;8;7,123333333;12,50;14,25;19,47;14,50333333;18,95666667;21,10333333
TFS1OFT1_9DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;9;1;470415;2019;Control;M;wt;12;13:15;;OFT1;1;16,58333333;18,41;20,06;25,97;25,22;20,50666667;14,00666667
TFS1OFT1_10DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;10;2;470418;2033;TFS;M;wt;12;13:15;;OFT1;5;14,11;45,94;44,85;30,03;41,03;35,79;16,51333333
TFS1OFT1_11DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;11;3;470412;2004;Control;M;wt;12;13:15;;OFT1;0;19,44333333;19,98;25,48;29,82;28,99666667;31,49;29,06666667
TFS1OFT1_12DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;12;4;470413;2010;TFS;M;wt;12;13:15;;OFT1;0;5,693333333;35,25;17,82;21,85;22,76;20,80333333;14,93666667
TFS1OFT1_13DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;13;1;470414;2015;TFS;M;wt;12;13:30;not as anxious as first animals;OFT1;0;17,12333333;57,88;41,43;38,84;33,59666667;34,51;27,81666667
TFS1OFT1_14DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;14;2;470415;2020;Control;M;wt;12;13:30;not as anxious as first animals;OFT1;5;14,06333333;32,07;24,58;30,14;41,31;27,63;22,39666667
TFS1OFT1_15DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;15;3;470413;2011;TFS;M;wt;12;13:30;not as anxious as first animals;OFT1;0;6,516666667;18,38;41,49;11,02;41,58333333;22,58666667;15,45666667
TFS1OFT1_16DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;16;4;470416;2024;Control;M;wt;12;13:30;not as anxious as first animals;OFT1;1;14,14;25,00;20,83;32,47;25,12333333;17,29;24,88333333
TFS1OFT1_17DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;17;1;470417;2029;TFS;M;wt;12;13:45;;OFT1;0;22,90333333;57,08;51,18;42,57;39,47666667;51,35333333;35,34333333
TFS1OFT1_18DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;18;2;470412;2005;Control;M;wt;12;13:45;;OFT1;2;13,99;26,06;30,24;33,39;31,84333333;20,38;25,33
TFS1OFT1_19DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;19;3;470416;2025;TFS;M;wt;12;13:45;;OFT1;3;13,65333333;45,79;48,07;27,59;38,51;26,71333333;38,38
TFS1OFT1_20DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;20;4;470418;2034;TFS;M;wt;12;13:45;;OFT1;6;12,25666667;49,63;29,46;17,84;23,87333333;26,06;33,68
TFS1OFT1_21DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;21;1;470418;2035;Control;M;wt;12;14:00;;OFT1;3;22,73333333;33,92;26,67;19,11;16,66;22,46333333;31,26666667
TFS1OFT1_22DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;22;2;470414;2016;TFS;M;wt;12;14:00;;OFT1;0;12,26333333;57,81;58,57;51,52;49,39333333;41,93333333;32,75
TFS1OFT1_23DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;23;3;470415;2021;TFS;M;wt;12;14:00;;OFT1;0;11,85333333;37,80;23,56;22,84;28,09666667;21,30666667;28,17
TFS1OFT1_24DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;24;4;470417;2030;Control;M;wt;12;14:00;;OFT1;4;15,05333333;11,00;26,68;21,12;12,73666667;16,91666667;18,20666667
TFS1OFT1_25DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;25;1;470416;2026;TFS;M;wt;12;14:15;;OFT1;7;18,19666667;48,27;58,41;63,14;42,43333333;51,80666667;45,52
TFS1OFT1_26DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;26;2;470413;2012;TFS;M;wt;12;14:15;;OFT1;0;14,00666667;67,95;38,25;38,22;29,99333333;35,84;28,05333333
TFS1OFT1_27DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;27;3;470418;2036;Control;M;wt;12;14:15;;OFT1;0;10,83666667;24,96;23,95;27,30;28,45;26,24;28,06666667
TFS1OFT1_28DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;28;4;470412;2006;TFS;M;wt;12;14:15;;OFT1;2;8,86;33,74;21,96;30,23;22,64666667;23,50666667;25,91
TFS1OFT1_29DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;29;1;470415;2022;Control;M;wt;12;14:30;;OFT1;3;6,403333333;21,00;18,93;34,74;24,34;29,75;24,89666667
TFS1OFT1_30DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;30;2;470417;2031;TFS;M;wt;12;14:30;;OFT1;4;14;52,66;61,27;74,19;36,39666667;41,69666667;39,51
TFS1OFT1_31DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;31;3;470414;2017;TFS;M;wt;12;14:30;;OFT1;0;8,076666667;40,21;26,09;22,14;19,05;23,72666667;22,72
TFS1OFT1_32DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;32;4;470416;2027;Control;M;wt;12;14:30;;OFT1;5;7,96;15,03;19,08;27,87;27,27;25,68;33,56666667
TFS1OFT1_33DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;33;1;470418;2037;TFS;M;wt;12;14:45;;OFT1;0;23,21333333;80,81;32,65;56,24;27,84;36,39333333;47,68666667
TFS1OFT1_34DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;34;2;470412;2007;Control;M;wt;12;14:45;;OFT1;4;9,173333333;17,40;24,05;25,33;20,08;18,47;12,25
TFS1OFT1_35DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;35;3;470417;2032;TFS;M;wt;12;14:45;;OFT1;0;13,49;32,63;38,92;27,93;31,38;32,09;52,25
TFS1OFT2_1DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;1;1;470412;2003;TFS;M;wt;12;12:15;LA;OFT2;3;11,94666667;28,46;23,34;21,87;26,88333333;24,06666667;18
TFS1OFT2_2DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;2;2;470413;2008;Control;M;wt;12;12:15;HA;OFT2;2;16,19;27,35;19,93;19,34;21,25333333;22,37333333;19,91333333
TFS1OFT2_3DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;3;3;470414;2013;Control;M;wt;12;12:15;HA, jumpy;OFT2;0;15,22333333;21,38;21,45;19,45;23,34333333;22,51;21,52
TFS1OFT2_4DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;4;4;470415;2018;TFS;M;wt;12;12:15;LA;OFT2;6;7,856666667;47,46;39,41;45,75;51,38666667;37,33333333;32,34333333
TFS1OFT2_5DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;5;1;470413;2009;Control;M;wt;12;12:35;HA;OFT2;1;16,79;20,64;18,72;28,35;16,45;33,72666667;18,91
TFS1OFT2_6DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;6;2;470416;2023;TFS;M;wt;12;12:35;LA;OFT2;6;13,90666667;60,75;70,76;56,55;43,47;66,92666667;32,02666667
TFS1OFT2_7DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;7;3;470417;2028;TFS;M;wt;12;12:35;;OFT2;5;11,84333333;45,66;30,90;35,69;25,58;28,15;18,18333333
TFS1OFT2_8DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;8;4;470414;2014;Control;M;wt;12;12:35;HA;OFT2;6;7,123333333;12,50;14,25;19,47;14,50333333;18,95666667;21,10333333
TFS1OFT2_9DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;9;1;470415;2019;Control;M;wt;12;12:55;;OFT2;5;16,58333333;18,41;20,06;25,97;25,22;20,50666667;14,00666667
TFS1OFT2_10DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;10;2;470418;2033;TFS;M;wt;12;12:55;;OFT2;8;14,11;45,94;44,85;30,03;41,03;35,79;16,51333333
TFS1OFT2_11DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;11;3;470412;2004;Control;M;wt;12;12:55;HA;OFT2;4;19,44333333;19,98;25,48;29,82;28,99666667;31,49;29,06666667
TFS1OFT2_12DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;12;4;470413;2010;TFS;M;wt;12;12:55;;OFT2;2;5,693333333;35,25;17,82;21,85;22,76;20,80333333;14,93666667
TFS1OFT2_13DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;13;1;470414;2015;TFS;M;wt;12;13:15;LA, START SMELL;OFT2;1;17,12333333;57,88;41,43;38,84;33,59666667;34,51;27,81666667
TFS1OFT2_14DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;14;2;470415;2020;Control;M;wt;12;13:15;HA;OFT2;7;14,06333333;32,07;24,58;30,14;41,31;27,63;22,39666667
TFS1OFT2_15DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;15;3;470413;2011;TFS;M;wt;12;13:15;;OFT2;11;6,516666667;18,38;41,49;11,02;41,58333333;22,58666667;15,45666667
TFS1OFT2_16DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;16;4;470416;2024;Control;M;wt;12;13:15;;OFT2;6;14,14;25,00;20,83;32,47;25,12333333;17,29;24,88333333
TFS1OFT2_17DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;17;1;470417;2029;TFS;M;wt;12;13:35;LA;OFT2;2;22,90333333;57,08;51,18;42,57;39,47666667;51,35333333;35,34333333
TFS1OFT2_18DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;18;2;470412;2005;Control;M;wt;12;13:35;HA;OFT2;4;13,99;26,06;30,24;33,39;31,84333333;20,38;25,33
TFS1OFT2_19DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;19;3;470416;2025;TFS;M;wt;12;13:35;HA;OFT2;0;13,65333333;45,79;48,07;27,59;38,51;26,71333333;38,38
TFS1OFT2_20DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;20;4;470418;2034;TFS;M;wt;12;13:35;;OFT2;7;12,25666667;49,63;29,46;17,84;23,87333333;26,06;33,68
TFS1OFT2_21DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;21;1;470418;2035;Control;M;wt;12;13:55;HA, door opened at the start for few sec;OFT2;4;22,73333333;33,92;26,67;19,11;16,66;22,46333333;31,26666667
TFS1OFT2_22DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;22;2;470414;2016;TFS;M;wt;12;13:55;LA;OFT2;2;12,26333333;57,81;58,57;51,52;49,39333333;41,93333333;32,75
TFS1OFT2_23DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;23;3;470415;2021;TFS;M;wt;12;13:55;;OFT2;0;11,85333333;37,80;23,56;22,84;28,09666667;21,30666667;28,17
TFS1OFT2_24DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;24;4;470417;2030;Control;M;wt;12;13:55;HA;OFT2;4;15,05333333;11,00;26,68;21,12;12,73666667;16,91666667;18,20666667
TFS1OFT2_25DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;25;1;470416;2026;TFS;M;wt;12;14:15;LA?;OFT2;5;18,19666667;48,27;58,41;63,14;42,43333333;51,80666667;45,52
TFS1OFT2_26DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;26;2;470413;2012;TFS;M;wt;12;14:15;;OFT2;3;14,00666667;67,95;38,25;38,22;29,99333333;35,84;28,05333333
TFS1OFT2_27DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;27;3;470418;2036;Control;M;wt;12;14:15;HA;OFT2;1;10,83666667;24,96;23,95;27,30;28,45;26,24;28,06666667
TFS1OFT2_28DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;28;4;470412;2006;TFS;M;wt;12;14:15;;OFT2;2;8,86;33,74;21,96;30,23;22,64666667;23,50666667;25,91
TFS1OFT2_29DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;29;1;470415;2022;Control;M;wt;12;14:35;;OFT2;3;6,403333333;21,00;18,93;34,74;24,34;29,75;24,89666667
TFS1OFT2_30DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;30;2;470417;2031;TFS;M;wt;12;14:35;jumpy;OFT2;2;14;52,66;61,27;74,19;36,39666667;41,69666667;39,51
TFS1OFT2_31DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;31;3;470414;2017;TFS;M;wt;12;14:35;HA;OFT2;5;8,076666667;40,21;26,09;22,14;19,05;23,72666667;22,72
TFS1OFT2_32DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;32;4;470416;2027;Control;M;wt;12;14:35;jumpy, LA?;OFT2;7;7,96;15,03;19,08;27,87;27,27;25,68;33,56666667
TFS1OFT2_33DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;33;1;470418;2037;TFS;M;wt;12;14:55;;OFT2;4;23,21333333;80,81;32,65;56,24;27,84;36,39333333;47,68666667
TFS1OFT2_34DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;34;2;470412;2007;Control;M;wt;12;14:55;HA;OFT2;4;9,173333333;17,40;24,05;25,33;20,08;18,47;12,25
TFS1OFT2_35DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;35;3;470417;2032;TFS;M;wt;12;14:55;;OFT2;4;13,49;32,63;38,92;27,93;31,38;32,09;52,25
TFS1OFT3_1DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;1;1;470412;2003;TFS;M;wt;13;12:15;;OFT3;4;11,94666667;28,46;23,34;21,87;26,88333333;24,06666667;18
TFS1OFT3_2DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;2;2;470413;2008;Control;M;wt;13;12:15;;OFT3;4;16,19;27,35;19,93;19,34;21,25333333;22,37333333;19,91333333
TFS1OFT3_3DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;3;3;470414;2013;Control;M;wt;13;12:15;;OFT3;0;15,22333333;21,38;21,45;19,45;23,34333333;22,51;21,52
TFS1OFT3_4DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;4;4;470415;2018;TFS;M;wt;13;12:15;;OFT3;3;7,856666667;47,46;39,41;45,75;51,38666667;37,33333333;32,34333333
TFS1OFT3_5DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;5;1;470413;2009;Control;M;wt;13;12:35;noise from entranc door;OFT3;2;16,79;20,64;18,72;28,35;16,45;33,72666667;18,91
TFS1OFT3_6DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;6;2;470416;2023;TFS;M;wt;13;12:35;noise from entranc door;OFT3;4;13,90666667;60,75;70,76;56,55;43,47;66,92666667;32,02666667
TFS1OFT3_7DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;7;3;470417;2028;TFS;M;wt;13;12:35;noise from entranc door;OFT3;3;11,84333333;45,66;30,90;35,69;25,58;28,15;18,18333333
TFS1OFT3_8DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;8;4;470414;2014;Control;M;wt;13;12:35;noise from entranc door;OFT3;5;7,123333333;12,50;14,25;19,47;14,50333333;18,95666667;21,10333333
TFS1OFT3_9DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;9;1;470415;2019;Control;M;wt;13;12:55;;OFT3;0;16,58333333;18,41;20,06;25,97;25,22;20,50666667;14,00666667
TFS1OFT3_10DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;10;2;470418;2033;TFS;M;wt;13;12:55;;OFT3;5;14,11;45,94;44,85;30,03;41,03;35,79;16,51333333
TFS1OFT3_11DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;11;3;470412;2004;Control;M;wt;13;12:55;;OFT3;4;19,44333333;19,98;25,48;29,82;28,99666667;31,49;29,06666667
TFS1OFT3_12DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;12;4;470413;2010;TFS;M;wt;13;12:55;;OFT3;6;5,693333333;35,25;17,82;21,85;22,76;20,80333333;14,93666667
TFS1OFT3_13DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;13;1;470414;2015;TFS;M;wt;13;13:15;;OFT3;0;17,12333333;57,88;41,43;38,84;33,59666667;34,51;27,81666667
TFS1OFT3_14DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;14;2;470415;2020;Control;M;wt;13;13:15;;OFT3;7;14,06333333;32,07;24,58;30,14;41,31;27,63;22,39666667
TFS1OFT3_15DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;15;3;470413;2011;TFS;M;wt;13;13:15;;OFT3;0;6,516666667;18,38;41,49;11,02;41,58333333;22,58666667;15,45666667
TFS1OFT3_16DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;16;4;470416;2024;Control;M;wt;13;13:15;;OFT3;0;14,14;25,00;20,83;32,47;25,12333333;17,29;24,88333333
TFS1OFT3_17DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;17;1;470417;2029;TFS;M;wt;13;13:35;;OFT3;0;22,90333333;57,08;51,18;42,57;39,47666667;51,35333333;35,34333333
TFS1OFT3_18DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;18;2;470412;2005;Control;M;wt;13;13:35;;OFT3;5;13,99;26,06;30,24;33,39;31,84333333;20,38;25,33
TFS1OFT3_19DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;19;3;470416;2025;TFS;M;wt;13;13:35;;OFT3;0;13,65333333;45,79;48,07;27,59;38,51;26,71333333;38,38
TFS1OFT3_20DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;20;4;470418;2034;TFS;M;wt;13;13:35;;OFT3;2;12,25666667;49,63;29,46;17,84;23,87333333;26,06;33,68
TFS1OFT3_21DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;21;1;470418;2035;Control;M;wt;13;13:55;;OFT3;2;22,73333333;33,92;26,67;19,11;16,66;22,46333333;31,26666667
TFS1OFT3_22DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;22;2;470414;2016;TFS;M;wt;13;13:55;;OFT3;0;12,26333333;57,81;58,57;51,52;49,39333333;41,93333333;32,75
TFS1OFT3_23DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;23;3;470415;2021;TFS;M;wt;13;13:55;;OFT3;1;11,85333333;37,80;23,56;22,84;28,09666667;21,30666667;28,17
TFS1OFT3_24DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;24;4;470417;2030;Control;M;wt;13;13:55;;OFT3;0;15,05333333;11,00;26,68;21,12;12,73666667;16,91666667;18,20666667
TFS1OFT3_25DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;25;1;470416;2026;TFS;M;wt;13;14:15;noise from entranc door;OFT3;7;18,19666667;48,27;58,41;63,14;42,43333333;51,80666667;45,52
TFS1OFT3_26DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;26;2;470413;2012;TFS;M;wt;13;14:15;noise from entranc door;OFT3;0;14,00666667;67,95;38,25;38,22;29,99333333;35,84;28,05333333
TFS1OFT3_27DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;27;3;470418;2036;Control;M;wt;13;14:15;noise from entranc door;OFT3;0;10,83666667;24,96;23,95;27,30;28,45;26,24;28,06666667
TFS1OFT3_28DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;28;4;470412;2006;TFS;M;wt;13;14:15;noise from entranc door;OFT3;4;8,86;33,74;21,96;30,23;22,64666667;23,50666667;25,91
TFS1OFT3_29DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;29;1;470415;2022;Control;M;wt;13;14:35;;OFT3;3;6,403333333;21,00;18,93;34,74;24,34;29,75;24,89666667
TFS1OFT3_30DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;30;2;470417;2031;TFS;M;wt;13;14:35;;OFT3;3;14;52,66;61,27;74,19;36,39666667;41,69666667;39,51
TFS1OFT3_31DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;31;3;470414;2017;TFS;M;wt;13;14:35;;OFT3;3;8,076666667;40,21;26,09;22,14;19,05;23,72666667;22,72
TFS1OFT3_32DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;32;4;470416;2027;Control;M;wt;13;14:35;;OFT3;3;7,96;15,03;19,08;27,87;27,27;25,68;33,56666667
TFS1OFT3_33DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;33;1;470418;2037;TFS;M;wt;13;14:55;;OFT3;0;23,21333333;80,81;32,65;56,24;27,84;36,39333333;47,68666667
TFS1OFT3_34DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;34;2;470412;2007;Control;M;wt;13;14:55;;OFT3;0;9,173333333;17,40;24,05;25,33;20,08;18,47;12,25
TFS1OFT3_35DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;35;3;470417;2032;TFS;M;wt;13;14:55;;OFT3;0;13,49;32,63;38,92;27,93;31,38;32,09;52,25
